product_name,jumlah_pembelian
bed_bath_table,13665
furniture_decor,11540
health_beauty,11081
sports_leisure,9932
computers_accessories,9874
housewares,9051
watches_gifts,6594
garden_tools,5874
telephony,5161
auto,4881
toys,4445
cool_stuff,4077
perfumery,3785
baby,3427
electronics,3092
stationery,2805
office_furniture,2538
pet_shop,2276
fashion_bags_accessories,2267
,1905
construction_tools_construction,1289
consoles_games,1246
luggage_accessories,1171
home_construction,815
home_appliances,778
musical_instruments,766
small_appliances,745
furniture_living_room,665
food,609
books_general_interest,609
drinks,567
home_confort,513
construction_tools_lights,432
audio,383
market_place,380
fixed_telephony,366
food_drink,365
air_conditioning,362
kitchen_dining_laundry_garden_furniture,325
industry_commerce_and_business,312
signaling_and_security,307
costruction_tools_garden,305
fashion_shoes,293
books_technical,275
agro_industry_and_commerce,265
construction_tools_safety,252
home_appliances_2,243
computers,235
art,230
christmas_supplies,202
fashion_male_clothing,156
fashion_underwear_beach,147
furniture_bedroom,125
costruction_tools_tools,109
tablets_printing_image,89
cine_photo,82
small_appliances_home_oven_and_coffee,77
dvds_blu_ray,70
books_imported,68
fashio_female_clothing,66
diapers_and_hygiene,66
party_supplies,47
music,39
home_comfort_2,39
furniture_mattress_and_upholstery,38
fashion_sport,38
flowers,37
arts_and_craftmanship,26
la_cuisine,16
cds_dvds_musicals,16
fashion_childrens_clothes,8
security_and_services,2
