customer_city,product_name,jumlah_pembelian
sao paulo,bed_bath_table,2495
sao paulo,health_beauty,2264
sao paulo,computers_accessories,1762
sao paulo,furniture_decor,1741
sao paulo,housewares,1739
sao paulo,sports_leisure,1560
rio de janeiro,bed_bath_table,1050
sao paulo,watches_gifts,943
rio de janeiro,furniture_decor,820
sao paulo,telephony,747
rio de janeiro,sports_leisure,731
sao paulo,toys,720
rio de janeiro,computers_accessories,659
rio de janeiro,health_beauty,657
rio de janeiro,housewares,632
sao paulo,auto,632
sao paulo,perfumery,626
sao paulo,garden_tools,603
sao paulo,baby,554
rio de janeiro,watches_gifts,514
sao paulo,cool_stuff,466
belo horizonte,bed_bath_table,424
sao paulo,stationery,422
sao paulo,electronics,405
rio de janeiro,garden_tools,389
rio de janeiro,toys,386
sao paulo,fashion_bags_accessories,372
sao paulo,office_furniture,366
sao paulo,,362
belo horizonte,housewares,355
sao paulo,pet_shop,355
belo horizonte,furniture_decor,345
rio de janeiro,office_furniture,320
belo horizonte,health_beauty,316
belo horizonte,computers_accessories,305
rio de janeiro,cool_stuff,278
rio de janeiro,electronics,274
brasilia,health_beauty,273
brasilia,sports_leisure,267
brasilia,bed_bath_table,255
sao paulo,construction_tools_construction,253
rio de janeiro,perfumery,250
belo horizonte,sports_leisure,238
goiania,auto,230
rio de janeiro,telephony,229
brasilia,furniture_decor,226
porto alegre,computers_accessories,226
campinas,bed_bath_table,216
brasilia,computers_accessories,208
rio de janeiro,auto,208
porto alegre,bed_bath_table,206
sao paulo,consoles_games,206
curitiba,furniture_decor,203
curitiba,watches_gifts,198
brasilia,housewares,197
campinas,furniture_decor,190
rio de janeiro,stationery,188
rio de janeiro,baby,186
curitiba,bed_bath_table,184
sao paulo,luggage_accessories,182
porto alegre,furniture_decor,178
curitiba,sports_leisure,175
curitiba,computers_accessories,174
campinas,health_beauty,168
sao paulo,food,168
belo horizonte,garden_tools,167
salvador,sports_leisure,160
goiania,garden_tools,159
curitiba,housewares,157
belo horizonte,toys,155
curitiba,health_beauty,155
salvador,health_beauty,155
brasilia,watches_gifts,154
guarulhos,bed_bath_table,150
sao bernardo do campo,furniture_decor,149
guarulhos,health_beauty,146
rio de janeiro,,145
porto alegre,health_beauty,141
salvador,bed_bath_table,141
salvador,computers_accessories,141
campinas,sports_leisure,140
guarulhos,furniture_decor,140
guarulhos,housewares,140
porto alegre,telephony,140
jundiai,bed_bath_table,136
belo horizonte,watches_gifts,134
santos,bed_bath_table,132
sao bernardo do campo,housewares,132
santos,garden_tools,131
rio de janeiro,pet_shop,130
sao paulo,small_appliances,129
niteroi,bed_bath_table,128
sao paulo,home_appliances,128
uniao da vitoria,furniture_decor,127
ribeirao preto,bed_bath_table,126
salvador,furniture_decor,126
porto alegre,sports_leisure,124
porto alegre,housewares,123
campinas,computers_accessories,120
campinas,housewares,116
brasilia,auto,115
niteroi,computers_accessories,114
rio verde,housewares,113
santos,furniture_decor,112
indaiatuba,telephony,111
sao paulo,home_construction,111
belo horizonte,baby,110
sorocaba,furniture_decor,110
belo horizonte,auto,108
belo horizonte,cool_stuff,108
guarulhos,computers_accessories,108
osasco,health_beauty,108
rio de janeiro,fashion_bags_accessories,108
sao paulo,drinks,108
brasilia,toys,106
campinas,garden_tools,106
sao bernardo do campo,health_beauty,106
sao bernardo do campo,sports_leisure,106
sao paulo,food_drink,106
santo andre,bed_bath_table,105
